diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
39,0.0124519999999999,-0.0097659999999999,-0.00019041,0.030395,-0.0241699999999999,-0.00104981,0.021241,-0.031494,0.0007824849999999,1.037597,-1.098633,-0.02105714,2.075196,-1.64795,0.047607385,0.976563,-0.976562,0.0085449049999999,riding
40,0.0246579999999999,-0.0097659999999999,0.000419925,0.03125,-0.036866,-0.00135255,0.0200199999999999,-0.0611569999999999,-0.00071776,2.01416,-1.403809,-0.01800538,2.075196,-2.502443,0.09704595,0.976563,-1.464844,-0.0280761949999999,riding
41,0.03064,-0.0303959999999999,-0.0008746349999999,0.073486,-0.051758,0.00185363,0.065796,-0.079102,0.00232422,2.258301,-3.0517580000000004,-0.084533665,6.347657,-2.502443,0.30578616,4.028321,-3.295898,0.032653805,riding
42,0.040039,-0.0303959999999999,0.001829215,0.073486,-0.05896,0.000419335,0.065796,-0.105713,-0.004910905,3.173829,-3.0517580000000004,0.0302124149999999,6.347657,-7.263184,-0.128784195,4.028321,-3.295898,0.15075687,riding
43,0.040039,-0.0303959999999999,-0.0003747149999999,0.073486,-0.05896,0.002817995,0.066284,-0.105713,0.00073975,3.173829,-3.0517580000000004,0.05279544,6.347657,-7.263184,-0.0668334849999999,4.028321,-3.295898,-0.1110839849999999,riding
44,0.040039,-0.0335700000000001,-0.001169435,0.073486,-0.05896,0.000560305,0.090942,-0.105713,0.002762435,3.173829,-3.0517580000000004,0.036010755,6.347657,-7.263184,-0.0570678899999999,4.028321,-3.295898,0.0259399149999999,riding
45,0.040039,-0.0335700000000001,0.0026165749999999,0.062745,-0.123902,-0.00737302,0.090942,-0.105713,-0.0055926549999999,3.173829,-2.624512,0.0650024499999999,4.516602000000001,-7.263184,-0.1211547449999999,5.615235,-5.676270000000001,-0.1586913699999999,riding
46,0.025147,-0.0335700000000001,-0.00101258,0.093994,-0.123902,0.00108764,0.090942,-0.064087,0.0021954649999999,2.868653,-3.295899,-0.0878906449999999,4.516602000000001,-4.638673,0.17242435,5.615235,-5.676270000000001,-0.0057983349999999,riding
47,0.025147,-0.0335700000000001,0.00140437,0.093994,-0.123902,-0.005435195,0.090942,-0.064087,-0.00324709,3.234865,-3.295899,-0.057678235,4.516602000000001,-4.638673,0.08178713,5.615235,-6.164553,0.15808107,riding
48,0.0236819999999999,-0.0284419999999999,0.00254455,0.093994,-0.123902,-0.0001171849999999,0.070801,-0.046875,-0.0066998,3.234865,-3.295899,-0.0149536149999999,3.78418,-3.54004,-0.08880615,5.615235,-6.164553,0.04516604,riding
49,0.017944,-0.0284419999999999,-0.0012292399999999,0.093994,-0.0635989999999999,0.00725281,0.070801,-0.042115,0.0017572149999999,3.234865,-3.295899,0.0085449199999999,3.78418,-3.54004,-0.120239275,3.906251,-6.164553,0.0143432099999999,riding
50,0.017944,-0.019287,-0.0001458799999999,0.075318,-0.0635989999999999,-0.0022662149999999,0.053711,-0.042115,0.0009728899999999,3.234865,-3.17383,-0.009765625,2.746583,-3.54004,0.1559448299999999,3.295898,-6.164553,-0.2087402649999999,riding
51,0.015747,-0.018311,0.0008087299999999,0.075928,-0.08313,0.000565815,0.0443109999999999,-0.043213,-0.002155735,3.479005,-2.563477,0.0177001899999999,2.746583,-3.54004,-0.075988775,5.615236,-2.868652,0.088195805,riding
52,0.0147709999999999,-0.018311,-0.0009008949999999,0.075928,-0.08313,-0.001222515,0.0443109999999999,-0.043213,0.0025506449999999,3.479005,-3.78418,0.01983644,2.746583,-3.4179690000000003,0.04150391,5.615236,-3.66211,-0.105590825,riding
53,0.0147709999999999,-0.013672,0.0008092999999999,0.075928,-0.08313,-0.00624147,0.0367429999999999,-0.043213,-0.0013360599999999,3.479005,-3.78418,0.0216674749999999,2.746583,-2.502441,0.070190405,5.615236,-3.66211,0.0433349949999999,riding
54,0.0147709999999999,-0.014283,0.0011407449999999,0.075928,-0.08313,-0.00331667,0.0378419999999999,-0.043213,-0.00262086,3.479005,-3.78418,0.07537842,2.441406,-2.502441,-0.2139282399999999,5.615236,-3.66211,0.004882865,riding
